Registrar,Raw,Percentage,Total
NameCheap,440,45%,975
1&1,128,13%,
Network,72,7%,
FastDomain,69,7%,
eNom,58,6%,
Launchpad.com,36,4%,
Tucows,36,4%,
Promo,20,2%,
Webnames.ca,16,2%,
Hostinger,12,1%,
Alibaba,9,1%,
Google,9,1%,
Hosting,9,1%,
Porkbun,9,1%,
Sibername,9,1%,
Name.com,7,1%,
EuroDNS,6,1%,
BigRock,4,0%,
Dynadot,4,0%,
101domain,3,0%,
Epik,3,0%,
Key-Systems,3,0%,
OVH,3,0%,
CloudFlare,2,0%,
CSL,2,0%,
DropCatch.com,2,0%,
Registered,2,0%,
SNAPNAMES,2,0%,
