Registrar,Raw,Percentage,Total
Tucows,119,45%,262
Key-Systems,35,13%,
Regtime,21,8%,
Domain.com,13,5%,
Porkbun,9,3%,
101domain,7,3%,
eNom,7,3%,
Google,7,3%,
TLD,7,3%,
GMO,6,2%,
Alibaba,5,2%,
Hosting,5,2%,
Name.com,5,2%,
1&1,4,2%,
Hostinger,4,2%,
Network,4,2%,
DropCatch.com,2,1%,
OnlineNIC,2,1%,
